PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATN	LOCA_NATE	LOCA_LOCA	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	IDEN_IDEN	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI	LLPL_LI
x	x	x	x	ft	ft	ft	ft	x	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	in	ft	x	psf	ksf	x	ft	%	pcf	x	ft	ksf	x	ft	%	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATN_ft	LOCA_NATE_ft	LOCA_LOCA_x	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_in	IVAN_DPTH_ft	IVAN_TYPE_x	IVAN_IVAN_psf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	IDEN_IDEN_pcf	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_ksf	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%	LLPL_LI_%
																									Ariel-CPT3	0.95	0.08			0.08			8.73	71.27																			
																									Ariel-CPT3	0.96	0.08			0.08			8.82	71.18																			
																									Ariel-CPT3	0.97	0.07			0.08			8.92	71.08																			
																									Ariel-CPT3	0.98	0.07			0.07			9.01	60.99																			
																									Ariel-CPT3	0.99	0.07			0.08			9.1	70.9																			
																									Ariel-CPT3	1	0.07			0.07			9.19	60.81																			
																									Ariel-CPT3	1.01	0.07			0.08			9.29	70.71																			
																									Ariel-CPT3	1.02	0.07			0.07			9.38	60.62																			
																									Ariel-CPT3	1.03	0.07			0.07			9.47	60.53																			
																									Ariel-CPT3	1.04	0.07			0.07			9.56	60.44																			
																									Ariel-CPT3	1.05	0.07			0.07			9.66	60.34																			
																									Ariel-CPT3	1.06	0.06			0.07			9.75	60.25																			
																									Ariel-CPT3	1.07	0.06			0.07			9.84	60.16																			
																									Ariel-CPT3	1.08	0.06			0.06			9.93	50.07																			
																									Ariel-CPT3	1.09	0.06			0.07			10.03	59.97																			
																									Ariel-CPT3	1.1	0.06			0.07			10.12	59.88																			
																									Ariel-CPT3	1.11	0.06			0.06			10.21	49.79																			
																									Ariel-CPT3	1.12	0.06			0.06			10.3	49.7																			
																									Ariel-CPT3	1.13	0.06			0.07			10.39	59.61																			
																									Ariel-CPT3	1.14	0.06			0.07			10.49	59.51																			
																									Ariel-CPT3	1.15	0.07			0.07			10.58	59.42																			
																									Ariel-CPT3	1.16	0.07			0.07			10.67	59.33																			
																									Ariel-CPT3	1.17	0.07			0.07			10.76	59.24																			
																									Ariel-CPT3	1.18	0.07			0.07			10.86	59.14																			
																									Ariel-CPT3	1.19	0.07			0.07			10.95	59.05																			
																									Ariel-CPT3	1.2	0.07			0.07			11.04	58.96																			
																									Ariel-CPT3	1.21	0.07			0.07			11.13	58.87																			
																									Ariel-CPT3	1.22	0.07			0.07			11.23	58.77																			
																									Ariel-CPT3	1.23	0.07			0.07			11.32	58.68																			
																									Ariel-CPT3	1.24	0.07			0.07			11.41	58.59																			
																									Ariel-CPT3	1.25	0.07			0.07			11.5	58.5																			
																									Ariel-CPT3	1.26	0.07			0.08			11.6	68.4																			
																									Ariel-CPT3	1.27	0.07			0.07			11.69	58.31																			
																									Ariel-CPT3	1.28	0.07			0.07			11.78	58.22																			
																									Ariel-CPT3	1.29	0.07			0.08			11.87	68.13																			
																									Ariel-CPT3	1.3	0.07			0.08			11.97	68.03																			
																									Ariel-CPT3	1.31	0.07			0.07			12.06	57.94																			
																									Ariel-CPT3	1.32	0.07			0.08			12.15	67.85																			
																									Ariel-CPT3	1.33	0.07			0.07			12.24	57.76																			
