PROJ_NAME	PROJ_LOC	LOCA_ID	LOCA_TYPE	LOCA_FDEO	LOCA_GL	LOCA_NATE	LOCA_NATN	PROJ_ID	GEOL_TOP	GEOL_SUW	GEOL_TOP	GEOL_SUW	GEOL_SUW_LE	GEOL_SUW_BE	GEOL_SUW_HE	GEOL_SU	GEOL_SU	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	GEOL_SU_LE	GEOL_SU_BE	GEOL_SU_HE	LOCA_ID	SCPT_DPTH	SCPT_RES	SCPT_FRES	SCPT_PWP2	SCPT_QT	SCPT_BDEN	SCPT_CPO	SCPT_CPOD	SCPT_QNET	LOCA_ID	IVAN_DPTH	IVAN_TYPE	IVAN_IVAN	IVAN_IVAR	LOCA_ID	IDEN_DPTH	IDEN_MC	LOCA_ID	SPEC_DPTH	TRIT_CU	LOCA_ID	SPEC_DPTH	LLPL_LL	LLPL_PL	LLPL_PI
x	x	x	x	ft	ft	ft	ft	x	ft	pcf	m	kN/m3	kN/m3	kN/m3	kN/m3	psf	kPa	psf	psf	psf	kPa	kPa	kPa	x	m	MPa	MPa	kPa	MPa	pcf	kPa	kPa	kPa	x	x	x	ksf	ksf	x	ft	%	x	ft	kPa	x	ft	%	%	%
PROJ_NAME_x	PROJ_LOC_x	LOCA_ID_x	LOCA_TYPE_x	LOCA_FDEO_ft	LOCA_GL_ft	LOCA_NATE_ft	LOCA_NATN_ft	PROJ_ID_x	GEOL_TOP_ft	GEOL_SUW_pcf	GEOL_TOP_m	GEOL_SUW_kN/m3	GEOL_SUW_LE_kN/m3	GEOL_SUW_BE_kN/m3	GEOL_SUW_HE_kN/m3	GEOL_SU_psf	GEOL_SU_kPa	GEOL_SU_LE_psf	GEOL_SU_BE_psf	GEOL_SU_HE_psf	GEOL_SU_LE_kPa	GEOL_SU_BE_kPa	GEOL_SU_HE_kPa	LOCA_ID_x	SCPT_DPTH_m	SCPT_RES_MPa	SCPT_FRES_MPa	SCPT_PWP2_kPa	SCPT_QT_MPa	SCPT_BDEN_pcf	SCPT_CPO_kPa	SCPT_CPOD_kPa	SCPT_QNET_kPa	LOCA_ID_x	IVAN_DPTH_x	IVAN_TYPE_x	IVAN_IVAN_ksf	IVAN_IVAR_ksf	LOCA_ID_x	IDEN_DPTH_ft	IDEN_MC_%	LOCA_ID_x	SPEC_DPTH_ft	TRIT_CU_kPa	LOCA_ID_x	SPEC_DPTH_ft	LLPL_LL_%	LLPL_PL_%	LLPL_PI_%
		SWG-PC-33	PC	17.25	"?5,664.7"	1764926.900	9685069.600																	CPT-72L	20.37	0.79			0.9			187.17	712.83	NEG-BC-49	1.67	MV	46.9		KMB-JPC-29	43.72	70				KMB-JPC-29	37.72	93	31	62
		KMB-PC-34	PC	17.54	"?5,978.0"	1768224.400	9683451.800																	CPT-72L	20.38	0.79			0.9			187.26	712.74	NEG-BC-49	1.83	MV	70.3		KMB-JPC-29	46.72	75				KMB-JPC-29	40.72	97	29	68
		KMB-PC-38	PC	17.92	"?6,152.0"	1774813.700	9691536.700																	CPT-72L	20.38	0.79			0.9			187.33	712.67	NEG-BC-49	1.92	MV	71.8		KMB-JPC-29	49.72	68				KMB-JPC-29	43.72	85	28	57
		KMB-PC-53	PC	17.54	"?6,184.0"	1777401.700	9687169.600																	CPT-72L	20.39	0.8			0.9			187.41	712.59	NEG-BC-49	2	MV	80.9		KMB-JPC-29	52.72	61				KMB-JPC-29	46.72	93	28	65
		KMB-PC-54	PC	17.63	"?6,024.0"	1784591.400	9686418.600																	CPT-72L	20.4	0.8			0.9			187.49	712.51	NEG-BC-49	2.17	MV	92		KMB-JPC-29	55.72	56				KMB-JPC-29	49.72	85	27	58
		KMB-PC-55	PC	17.71	"?6,086.0"	1782028.600	9680807.900																	CPT-72L	20.41	0.8			0.9			187.58	712.42	KMB-BC-43	0.17	MV	35.7		KMB-JPC-29	58.05	71				KMB-JPC-29	52.72	75	25	50
		KMB-PC-56	PC	17.67	"?5,939.0"	1785232.600	9680790.700																	CPT-72L	20.42	0.8			0.9			187.66	712.34	KMB-BC-43	0.17	MV	11.7		KMB-JPC-36	23.46	95				KMB-JPC-29	55.72	74	22	52
		KMB-PC-57	PC	17.5	"?6,043.0"	1774752.000	9680751.800																	CPT-72L	20.43	0.79			0.9			187.74	712.26	KMB-BC-43	0.33	MV	30.5		KMB-JPC-36	26.46	94				KMB-JPC-29	58.05	73	25	48
		NEG-PC-59	PC	17.23	"?5,701.0"	1787232.600	9702418.400																	CPT-72L	20.44	0.79			0.9			187.82	712.18	KMB-BC-43	0.5	MV	68.8		KMB-JPC-36	29.46	87				KMB-JPC-36	23.46	92	29	63
		FP-PC-82	PC	17.75	"?5,821.0"	1768368.800	9675379.000																	CPT-72L	20.45	0.79			0.9			187.9	712.1	KMB-BC-43	0.67	MV	54		KMB-JPC-36	32.46	96				KMB-JPC-36	26.46	91	29	62
